conv_id,challenge,rewrite1,rewrite2,plan1_text,plan2_text,conversation,planA,planB,shuffle_key,conv_len,topic,kushan_label,hannah_label,majority_label,conversation_y
0,intent_shift,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Mix Dry Ingredients""},{""id"":4,""name"":""Cream Butter and Sugar""},{""id"":5,""name"":""Add Eggs and Vanilla""},{""id"":6,""name"":""Combine Wet and Dry Ingredients""},{""id"":7,""name"":""Fold in Chocolate Chips""},{""id"":8,""name"":""Scoop Dough onto Baking Sheet""},{""id"":9,""name"":""Bake Cookies""},{""id"":10,""name"":""Cool Cookies""}],""edges"":[[1,3],[1,4],[3,6],[4,5],[5,6],[6,7],[7,8],[2,9],[8,9],[9,10]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Mix Dry Ingredients""},{""id"":4,""name"":""Cream Butter and Sugar""},{""id"":5,""name"":""Add Eggs and Vanilla""},{""id"":6,""name"":""Combine Wet and Dry Ingredients""},{""id"":7,""name"":""Fold in Chocolate Chips""},{""id"":8,""name"":""Scoop Dough onto Baking Sheet""},{""id"":9,""name"":""Bake Cookies""},{""id"":10,""name"":""Cool Cookies""}],""edges"":[[1,3],[1,4],[2,9],[3,6],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10]]}","['USER: I want to bake a cake for my birthday.', 'AGENT: What kind of cake are you thinking of?', ""USER: Actually, I'd rather make some fresh chocolate chip cookies""]","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Mix Dry Ingredients""},{""id"":4,""name"":""Cream Butter and Sugar""},{""id"":5,""name"":""Add Eggs and Vanilla""},{""id"":6,""name"":""Combine Wet and Dry Ingredients""},{""id"":7,""name"":""Fold in Chocolate Chips""},{""id"":8,""name"":""Scoop Dough onto Baking Sheet""},{""id"":9,""name"":""Bake Cookies""},{""id"":10,""name"":""Cool Cookies""}],""edges"":[[1,3],[1,4],[3,6],[4,5],[5,6],[6,7],[7,8],[2,9],[8,9],[9,10]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Mix Dry Ingredients""},{""id"":4,""name"":""Cream Butter and Sugar""},{""id"":5,""name"":""Add Eggs and Vanilla""},{""id"":6,""name"":""Combine Wet and Dry Ingredients""},{""id"":7,""name"":""Fold in Chocolate Chips""},{""id"":8,""name"":""Scoop Dough onto Baking Sheet""},{""id"":9,""name"":""Bake Cookies""},{""id"":10,""name"":""Cool Cookies""}],""edges"":[[1,3],[1,4],[2,9],[3,6],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10]]}",A,short,cooking,A,A,A,"['USER: I want to bake a cake for my birthday.', 'AGENT: What kind of cake are you thinking of?', ""USER: Actually, I'd rather make some fresh chocolate chip cookies""]"
14,perfect_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Search Flights""},{""id"":2,""name"":""Select Flight""},{""id"":3,""name"":""Enter Passenger Details""},{""id"":4,""name"":""Make Payment""},{""id"":5,""name"":""Receive Confirmation""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Search Flights""},{""id"":2,""name"":""Select Flight""},{""id"":3,""name"":""Enter Passenger Details""},{""id"":4,""name"":""Payment""},{""id"":5,""name"":""Confirmation""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","['USER: I want to book a one-way flight from Boston to Dallas for this Saturday', 'AGENT: What time of day would you prefer to travel?', ""USER: I'm available to travel anytime""]","{""nodes"":[{""id"":1,""name"":""Search Flights""},{""id"":2,""name"":""Select Flight""},{""id"":3,""name"":""Enter Passenger Details""},{""id"":4,""name"":""Make Payment""},{""id"":5,""name"":""Receive Confirmation""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Search Flights""},{""id"":2,""name"":""Select Flight""},{""id"":3,""name"":""Enter Passenger Details""},{""id"":4,""name"":""Payment""},{""id"":5,""name"":""Confirmation""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}",A,short,flights,Tie,A,A,"['USER: I want to book a one-way flight from Boston to Dallas for this Saturday', 'AGENT: What time of day would you prefer to travel?', ""USER: I'm available to travel anytime""]"
15,perfect_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Identify User's Hotel Location""},{""id"":2,""name"":""Search for Sushi Restaurants in NYC""},{""id"":3,""name"":""Filter Restaurants by Proximity to Hotel""},{""id"":4,""name"":""Check Restaurant Reviews and Ratings""},{""id"":5,""name"":""Select Top Sushi Restaurant""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Identify location of the hotel""},{""id"":2,""name"":""Search for sushi restaurants in New York City""},{""id"":3,""name"":""Filter sushi restaurants by proximity to the hotel""},{""id"":4,""name"":""Select the closest sushi restaurant""}],""edges"":[[1,3],[2,3],[3,4]]}","[""USER: I'm looking for a sushi restaurant near my hotel."", 'AGENT: What city is your hotel in?', ""USER: It's in New York City.""]","{""nodes"":[{""id"":1,""name"":""Identify location of the hotel""},{""id"":2,""name"":""Search for sushi restaurants in New York City""},{""id"":3,""name"":""Filter sushi restaurants by proximity to the hotel""},{""id"":4,""name"":""Select the closest sushi restaurant""}],""edges"":[[1,3],[2,3],[3,4]]}","{""nodes"":[{""id"":1,""name"":""Identify User's Hotel Location""},{""id"":2,""name"":""Search for Sushi Restaurants in NYC""},{""id"":3,""name"":""Filter Restaurants by Proximity to Hotel""},{""id"":4,""name"":""Check Restaurant Reviews and Ratings""},{""id"":5,""name"":""Select Top Sushi Restaurant""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}",B,short,restaurants,A,Tie,A,"[""USER: I'm looking for a sushi restaurant near my hotel."", 'AGENT: What city is your hotel in?', ""USER: It's in New York City.""]"
23,multi_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Research Vegetarian Recipes""},{""id"":2,""name"":""Select Ingredients for Dinner""},{""id"":3,""name"":""Plan Cooking Steps""},{""id"":4,""name"":""Research Nutrition for Endurance""},{""id"":5,""name"":""Identify Key Nutrients""},{""id"":6,""name"":""Create Meal Plan""},{""id"":7,""name"":""Prepare Dinner""},{""id"":8,""name"":""Evaluate Nutritional Balance""},{""id"":9,""name"":""Adjust Meal Plan for Training Needs""}],""edges"":[[1,2],[2,3],[3,7],[4,5],[5,6],[6,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Select Vegetarian Dinner Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Prepare Ingredients""},{""id"":4,""name"":""Cook Dinner""},{""id"":5,""name"":""Serve Dinner""},{""id"":6,""name"":""Research Nutrition Tips for Endurance""},{""id"":7,""name"":""Compile Nutrition Tips""},{""id"":8,""name"":""Integrate Tips into Meal Plan""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[6,7],[7,8],[5,8]]}","['USER: I need to find a healthy recipe for dinner and also want to learn about nutrition for my upcoming marathon training.', ""AGENT: For the recipe, do you have any dietary restrictions or preferences, and for the marathon training, what's your current running experience?"", ""USER: I'm a vegetarian and have run a few half-marathons before, so I'm looking for something to help me increase my endurance.""]","{""nodes"":[{""id"":1,""name"":""Select Vegetarian Dinner Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Prepare Ingredients""},{""id"":4,""name"":""Cook Dinner""},{""id"":5,""name"":""Serve Dinner""},{""id"":6,""name"":""Research Nutrition Tips for Endurance""},{""id"":7,""name"":""Compile Nutrition Tips""},{""id"":8,""name"":""Integrate Tips into Meal Plan""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[6,7],[7,8],[5,8]]}","{""nodes"":[{""id"":1,""name"":""Research Vegetarian Recipes""},{""id"":2,""name"":""Select Ingredients for Dinner""},{""id"":3,""name"":""Plan Cooking Steps""},{""id"":4,""name"":""Research Nutrition for Endurance""},{""id"":5,""name"":""Identify Key Nutrients""},{""id"":6,""name"":""Create Meal Plan""},{""id"":7,""name"":""Prepare Dinner""},{""id"":8,""name"":""Evaluate Nutritional Balance""},{""id"":9,""name"":""Adjust Meal Plan for Training Needs""}],""edges"":[[1,2],[2,3],[3,7],[4,5],[5,6],[6,8],[8,9]]}",B,short,health,A,A,A,"['USER: I need to find a healthy recipe for dinner and also want to learn about nutrition for my upcoming marathon training.', ""AGENT: For the recipe, do you have any dietary restrictions or preferences, and for the marathon training, what's your current running experience?"", ""USER: I'm a vegetarian and have run a few half-marathons before, so I'm looking for something to help me increase my endurance.""]"
24,perfect_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Research Cardiologists in NYC""},{""id"":2,""name"":""Filter by Blue Cross Blue Shield Acceptance""},{""id"":3,""name"":""Check Availability within Two Weeks""},{""id"":4,""name"":""Contact Cardiologist Office""},{""id"":5,""name"":""Schedule Appointment""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Identify Cardiologists in NYC""},{""id"":2,""name"":""Filter by Blue Cross Blue Shield Acceptance""},{""id"":3,""name"":""Check Availability for Routine Check-up""},{""id"":4,""name"":""Compile List of Suitable Cardiologists""}],""edges"":[[1,2],[2,3],[3,4]]}","[""USER: I'm looking for a cardiologist in New York City who accepts my insurance and has availability within the next two weeks."", 'AGENT: Can you please confirm your insurance provider and what specific cardiology services you need, such as a check-up or a procedure?', 'USER: My insurance is Blue Cross Blue Shield and I need a routine check-up.']","{""nodes"":[{""id"":1,""name"":""Research Cardiologists in NYC""},{""id"":2,""name"":""Filter by Blue Cross Blue Shield Acceptance""},{""id"":3,""name"":""Check Availability within Two Weeks""},{""id"":4,""name"":""Contact Cardiologist Office""},{""id"":5,""name"":""Schedule Appointment""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Identify Cardiologists in NYC""},{""id"":2,""name"":""Filter by Blue Cross Blue Shield Acceptance""},{""id"":3,""name"":""Check Availability for Routine Check-up""},{""id"":4,""name"":""Compile List of Suitable Cardiologists""}],""edges"":[[1,2],[2,3],[3,4]]}",A,short,health,B,Tie,B,"[""USER: I'm looking for a cardiologist in New York City who accepts my insurance and has availability within the next two weeks."", 'AGENT: Can you please confirm your insurance provider and what specific cardiology services you need, such as a check-up or a procedure?', 'USER: My insurance is Blue Cross Blue Shield and I need a routine check-up.']"
27,underspecified_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Choose a Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Prepare Ingredients""},{""id"":4,""name"":""Cook the Meal""},{""id"":5,""name"":""Set the Table""},{""id"":6,""name"":""Serve the Meal""}],""edges"":[[1,2],[2,3],[3,4],[4,6],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Choose a Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Prepare Ingredients""},{""id"":4,""name"":""Cook the Meal""},{""id"":5,""name"":""Serve and Enjoy""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","[""USER: I want to cook something for dinner, but I'm not sure what."", 'AGENT: Do you have any dietary restrictions or preferences?', 'USER: No, I just want something easy and quick.']","{""nodes"":[{""id"":1,""name"":""Choose a Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Prepare Ingredients""},{""id"":4,""name"":""Cook the Meal""},{""id"":5,""name"":""Set the Table""},{""id"":6,""name"":""Serve the Meal""}],""edges"":[[1,2],[2,3],[3,4],[4,6],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Choose a Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Prepare Ingredients""},{""id"":4,""name"":""Cook the Meal""},{""id"":5,""name"":""Serve and Enjoy""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}",A,short,cooking,B,A,tie,"[""USER: I want to cook something for dinner, but I'm not sure what."", 'AGENT: Do you have any dietary restrictions or preferences?', 'USER: No, I just want something easy and quick.']"
28,multi_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Plan Menu""},{""id"":2,""name"":""Check Ingredients""},{""id"":3,""name"":""Make Shopping List""},{""id"":4,""name"":""Go Shopping""},{""id"":5,""name"":""Prepare Appetizers""},{""id"":6,""name"":""Prepare Main Course""},{""id"":7,""name"":""Prepare Desserts""},{""id"":8,""name"":""Set Table""},{""id"":9,""name"":""Serve Dinner""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[4,6],[4,7],[5,8],[6,8],[7,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Decide on dinner menu""},{""id"":2,""name"":""Decide on appetizers""},{""id"":3,""name"":""Decide on desserts""},{""id"":4,""name"":""Check dietary restrictions""},{""id"":5,""name"":""Create shopping list""},{""id"":6,""name"":""Purchase ingredients""},{""id"":7,""name"":""Prepare appetizers""},{""id"":8,""name"":""Cook dinner""},{""id"":9,""name"":""Prepare desserts""},{""id"":10,""name"":""Set the table""},{""id"":11,""name"":""Serve dinner""},{""id"":12,""name"":""Serve appetizers""},{""id"":13,""name"":""Serve desserts""}],""edges"":[[1,5],[2,5],[3,5],[4,1],[4,2],[4,3],[5,6],[6,7],[6,8],[6,9],[7,12],[8,11],[9,13],[10,11],[10,12],[10,13]]}","['USER: I need to cook dinner for my family and also make some snacks for a party tomorrow.', 'AGENT: How many people are you planning to cook dinner for and what kind of snacks are you thinking of making?', 'USER: Dinner is for 4 people and I want to make some appetizers and desserts for the party.']","{""nodes"":[{""id"":1,""name"":""Plan Menu""},{""id"":2,""name"":""Check Ingredients""},{""id"":3,""name"":""Make Shopping List""},{""id"":4,""name"":""Go Shopping""},{""id"":5,""name"":""Prepare Appetizers""},{""id"":6,""name"":""Prepare Main Course""},{""id"":7,""name"":""Prepare Desserts""},{""id"":8,""name"":""Set Table""},{""id"":9,""name"":""Serve Dinner""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[4,6],[4,7],[5,8],[6,8],[7,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Decide on dinner menu""},{""id"":2,""name"":""Decide on appetizers""},{""id"":3,""name"":""Decide on desserts""},{""id"":4,""name"":""Check dietary restrictions""},{""id"":5,""name"":""Create shopping list""},{""id"":6,""name"":""Purchase ingredients""},{""id"":7,""name"":""Prepare appetizers""},{""id"":8,""name"":""Cook dinner""},{""id"":9,""name"":""Prepare desserts""},{""id"":10,""name"":""Set the table""},{""id"":11,""name"":""Serve dinner""},{""id"":12,""name"":""Serve appetizers""},{""id"":13,""name"":""Serve desserts""}],""edges"":[[1,5],[2,5],[3,5],[4,1],[4,2],[4,3],[5,6],[6,7],[6,8],[6,9],[7,12],[8,11],[9,13],[10,11],[10,12],[10,13]]}",A,short,cooking,B,B,B,"['USER: I need to cook dinner for my family and also make some snacks for a party tomorrow.', 'AGENT: How many people are you planning to cook dinner for and what kind of snacks are you thinking of making?', 'USER: Dinner is for 4 people and I want to make some appetizers and desserts for the party.']"
31,noisy_data,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Identify the Bug""},{""id"":2,""name"":""Reproduce the Bug""},{""id"":3,""name"":""Analyze the Code""},{""id"":4,""name"":""Develop a Fix""},{""id"":5,""name"":""Test the Fix""},{""id"":6,""name"":""Deploy the Fix""},{""id"":7,""name"":""Monitor the System""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Understand the Bug""},{""id"":2,""name"":""Reproduce the Bug""},{""id"":3,""name"":""Locate the Bug in Code""},{""id"":4,""name"":""Analyze the Code""},{""id"":5,""name"":""Develop a Fix""},{""id"":6,""name"":""Test the Fix""},{""id"":7,""name"":""Deploy the Fix""},{""id"":8,""name"":""Monitor the Fix""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}","['USER: Hi, how are you? I need help with programming.', ""AGENT: I'm doing well, thanks. What programming problem are you trying to solve?"", ""USER: Okay, so I'm trying to fix a bug in my code.""]","{""nodes"":[{""id"":1,""name"":""Understand the Bug""},{""id"":2,""name"":""Reproduce the Bug""},{""id"":3,""name"":""Locate the Bug in Code""},{""id"":4,""name"":""Analyze the Code""},{""id"":5,""name"":""Develop a Fix""},{""id"":6,""name"":""Test the Fix""},{""id"":7,""name"":""Deploy the Fix""},{""id"":8,""name"":""Monitor the Fix""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Identify the Bug""},{""id"":2,""name"":""Reproduce the Bug""},{""id"":3,""name"":""Analyze the Code""},{""id"":4,""name"":""Develop a Fix""},{""id"":5,""name"":""Test the Fix""},{""id"":6,""name"":""Deploy the Fix""},{""id"":7,""name"":""Monitor the System""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}",B,short,programming,B,B,B,"['USER: Hi, how are you? I need help with programming.', ""AGENT: I'm doing well, thanks. What programming problem are you trying to solve?"", ""USER: Okay, so I'm trying to fix a bug in my code.""]"
35,intent_shift,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Determine Travel Dates""},{""id"":2,""name"":""Research Flight Options""},{""id"":3,""name"":""Compare Prices and Airlines""},{""id"":4,""name"":""Select Destination""},{""id"":5,""name"":""Book Flight""},{""id"":6,""name"":""Receive Booking Confirmation""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Determine travel dates""},{""id"":2,""name"":""Research transportation options""},{""id"":3,""name"":""Book transportation""},{""id"":4,""name"":""Research accommodation options""},{""id"":5,""name"":""Book accommodation""},{""id"":6,""name"":""Plan itinerary""},{""id"":7,""name"":""Pack luggage""},{""id"":8,""name"":""Prepare travel documents""},{""id"":9,""name"":""Arrange local transportation in Chicago""}],""edges"":[[1,2],[2,3],[1,4],[4,5],[1,6],[3,6],[5,6],[6,7],[1,8],[3,9]]}","['USER: I want to book a flight from New York to Los Angeles', 'AGENT: What dates are you planning to travel?', ""USER: I was thinking of going next month, but now I'm considering a trip to Chicago instead""]","{""nodes"":[{""id"":1,""name"":""Determine Travel Dates""},{""id"":2,""name"":""Research Flight Options""},{""id"":3,""name"":""Compare Prices and Airlines""},{""id"":4,""name"":""Select Destination""},{""id"":5,""name"":""Book Flight""},{""id"":6,""name"":""Receive Booking Confirmation""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Determine travel dates""},{""id"":2,""name"":""Research transportation options""},{""id"":3,""name"":""Book transportation""},{""id"":4,""name"":""Research accommodation options""},{""id"":5,""name"":""Book accommodation""},{""id"":6,""name"":""Plan itinerary""},{""id"":7,""name"":""Pack luggage""},{""id"":8,""name"":""Prepare travel documents""},{""id"":9,""name"":""Arrange local transportation in Chicago""}],""edges"":[[1,2],[2,3],[1,4],[4,5],[1,6],[3,6],[5,6],[6,7],[1,8],[3,9]]}",A,short,flights,B,B,B,"['USER: I want to book a flight from New York to Los Angeles', 'AGENT: What dates are you planning to travel?', ""USER: I was thinking of going next month, but now I'm considering a trip to Chicago instead""]"
42,underspecified_intent,advanced_summarizer,dpo:human,"{""nodes"":[{""id"":1,""name"":""Identify Cuisine Preference""},{""id"":2,""name"":""Research Restaurants""},{""id"":3,""name"":""Check Reviews""},{""id"":4,""name"":""Select Top Restaurants""},{""id"":5,""name"":""Make a Reservation""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Identify Location""},{""id"":2,""name"":""Determine Cuisine Preference""},{""id"":3,""name"":""Research Restaurants""},{""id"":4,""name"":""Check Reviews""},{""id"":5,""name"":""Select Restaurant""}],""edges"":[[1,3],[2,3],[3,4],[4,5]]}","['USER: I want to find a restaurant', ""AGENT: Can you give me a hint about what you're looking for, like a location or a type of food?"", 'USER: Somewhere with good reviews would be great']","{""nodes"":[{""id"":1,""name"":""Identify Location""},{""id"":2,""name"":""Determine Cuisine Preference""},{""id"":3,""name"":""Research Restaurants""},{""id"":4,""name"":""Check Reviews""},{""id"":5,""name"":""Select Restaurant""}],""edges"":[[1,3],[2,3],[3,4],[4,5]]}","{""nodes"":[{""id"":1,""name"":""Identify Cuisine Preference""},{""id"":2,""name"":""Research Restaurants""},{""id"":3,""name"":""Check Reviews""},{""id"":4,""name"":""Select Top Restaurants""},{""id"":5,""name"":""Make a Reservation""}],""edges"":[[1,2],[2,3],[3,4],[4,5]]}",B,short,restaurants,B,B,B,"['USER: I want to find a restaurant', ""AGENT: Can you give me a hint about what you're looking for, like a location or a type of food?"", 'USER: Somewhere with good reviews would be great']"
