conv_id,challenge,rewrite1,rewrite2,plan1_text,plan2_text,conversation,planA,planB,shuffle_key
0,intent_shift,dummy,basic_summarizer,"{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Mix Wet Ingredients'}, {'id': 5, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 6, 'name': 'Add Chocolate Chips'}, {'id': 7, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 5], [4, 5], [5, 6], [6, 7], [2, 8], [7, 8], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients for Cake'}, {'id': 2, 'name': 'Preheat Oven for Cake'}, {'id': 3, 'name': 'Mix Cake Batter'}, {'id': 4, 'name': 'Bake Cake'}, {'id': 5, 'name': 'Gather Ingredients for Cookies'}, {'id': 6, 'name': 'Preheat Oven for Cookies'}, {'id': 7, 'name': 'Mix Cookie Dough'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Decorate Cookies'}, {'id': 10, 'name': 'Set Up Birthday Decorations'}, {'id': 11, 'name': 'Invite Guests'}, {'id': 12, 'name': 'Celebrate Birthday'}], 'edges': [[1, 3], [2, 4], [3, 4], [5, 7], [6, 8], [7, 8], [8, 9], [9, 12], [10, 12], [11, 12]]}","['USER: I want to bake a cake for my birthday.', 'AGENT: What kind of cake are you thinking of?', ""USER: Actually, I'd rather make some fresh chocolate chip cookies""]","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Mix Wet Ingredients'}, {'id': 5, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 6, 'name': 'Add Chocolate Chips'}, {'id': 7, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 5], [4, 5], [5, 6], [6, 7], [2, 8], [7, 8], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients for Cake'}, {'id': 2, 'name': 'Preheat Oven for Cake'}, {'id': 3, 'name': 'Mix Cake Batter'}, {'id': 4, 'name': 'Bake Cake'}, {'id': 5, 'name': 'Gather Ingredients for Cookies'}, {'id': 6, 'name': 'Preheat Oven for Cookies'}, {'id': 7, 'name': 'Mix Cookie Dough'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Decorate Cookies'}, {'id': 10, 'name': 'Set Up Birthday Decorations'}, {'id': 11, 'name': 'Invite Guests'}, {'id': 12, 'name': 'Celebrate Birthday'}], 'edges': [[1, 3], [2, 4], [3, 4], [5, 7], [6, 8], [7, 8], [8, 9], [9, 12], [10, 12], [11, 12]]}",A
0,intent_shift,dummy,advanced_summarizer,"{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Mix Wet Ingredients'}, {'id': 5, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 6, 'name': 'Add Chocolate Chips'}, {'id': 7, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 5], [4, 5], [5, 6], [6, 7], [2, 8], [7, 8], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Cream Butter and Sugar'}, {'id': 5, 'name': 'Add Eggs and Vanilla'}, {'id': 6, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 7, 'name': 'Fold in Chocolate Chips'}, {'id': 8, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 9, 'name': 'Bake Cookies'}, {'id': 10, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 6], [4, 5], [5, 6], [6, 7], [7, 8], [2, 9], [8, 9], [9, 10]]}","['USER: I want to bake a cake for my birthday.', 'AGENT: What kind of cake are you thinking of?', ""USER: Actually, I'd rather make some fresh chocolate chip cookies""]","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Cream Butter and Sugar'}, {'id': 5, 'name': 'Add Eggs and Vanilla'}, {'id': 6, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 7, 'name': 'Fold in Chocolate Chips'}, {'id': 8, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 9, 'name': 'Bake Cookies'}, {'id': 10, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 6], [4, 5], [5, 6], [6, 7], [7, 8], [2, 9], [8, 9], [9, 10]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Mix Wet Ingredients'}, {'id': 5, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 6, 'name': 'Add Chocolate Chips'}, {'id': 7, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 5], [4, 5], [5, 6], [6, 7], [2, 8], [7, 8], [8, 9]]}",B
0,intent_shift,basic_summarizer,advanced_summarizer,"{'nodes': [{'id': 1, 'name': 'Gather Ingredients for Cake'}, {'id': 2, 'name': 'Preheat Oven for Cake'}, {'id': 3, 'name': 'Mix Cake Batter'}, {'id': 4, 'name': 'Bake Cake'}, {'id': 5, 'name': 'Gather Ingredients for Cookies'}, {'id': 6, 'name': 'Preheat Oven for Cookies'}, {'id': 7, 'name': 'Mix Cookie Dough'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Decorate Cookies'}, {'id': 10, 'name': 'Set Up Birthday Decorations'}, {'id': 11, 'name': 'Invite Guests'}, {'id': 12, 'name': 'Celebrate Birthday'}], 'edges': [[1, 3], [2, 4], [3, 4], [5, 7], [6, 8], [7, 8], [8, 9], [9, 12], [10, 12], [11, 12]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Cream Butter and Sugar'}, {'id': 5, 'name': 'Add Eggs and Vanilla'}, {'id': 6, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 7, 'name': 'Fold in Chocolate Chips'}, {'id': 8, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 9, 'name': 'Bake Cookies'}, {'id': 10, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 6], [4, 5], [5, 6], [6, 7], [7, 8], [2, 9], [8, 9], [9, 10]]}","['USER: I want to bake a cake for my birthday.', 'AGENT: What kind of cake are you thinking of?', ""USER: Actually, I'd rather make some fresh chocolate chip cookies""]","{'nodes': [{'id': 1, 'name': 'Gather Ingredients for Cake'}, {'id': 2, 'name': 'Preheat Oven for Cake'}, {'id': 3, 'name': 'Mix Cake Batter'}, {'id': 4, 'name': 'Bake Cake'}, {'id': 5, 'name': 'Gather Ingredients for Cookies'}, {'id': 6, 'name': 'Preheat Oven for Cookies'}, {'id': 7, 'name': 'Mix Cookie Dough'}, {'id': 8, 'name': 'Bake Cookies'}, {'id': 9, 'name': 'Decorate Cookies'}, {'id': 10, 'name': 'Set Up Birthday Decorations'}, {'id': 11, 'name': 'Invite Guests'}, {'id': 12, 'name': 'Celebrate Birthday'}], 'edges': [[1, 3], [2, 4], [3, 4], [5, 7], [6, 8], [7, 8], [8, 9], [9, 12], [10, 12], [11, 12]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Preheat Oven'}, {'id': 3, 'name': 'Mix Dry Ingredients'}, {'id': 4, 'name': 'Cream Butter and Sugar'}, {'id': 5, 'name': 'Add Eggs and Vanilla'}, {'id': 6, 'name': 'Combine Wet and Dry Ingredients'}, {'id': 7, 'name': 'Fold in Chocolate Chips'}, {'id': 8, 'name': 'Scoop Dough onto Baking Sheet'}, {'id': 9, 'name': 'Bake Cookies'}, {'id': 10, 'name': 'Cool Cookies'}], 'edges': [[1, 3], [1, 4], [3, 6], [4, 5], [5, 6], [6, 7], [7, 8], [2, 9], [8, 9], [9, 10]]}",A
1,noisy_data,dummy,basic_summarizer,"{'nodes': [{'id': 1, 'name': 'Decide on a chicken recipe'}, {'id': 2, 'name': 'Check available ingredients'}, {'id': 3, 'name': 'Create a shopping list'}, {'id': 4, 'name': 'Go grocery shopping'}, {'id': 5, 'name': 'Prepare ingredients'}, {'id': 6, 'name': 'Cook the chicken dish'}, {'id': 7, 'name': 'Set the table'}, {'id': 8, 'name': 'Serve dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [6, 8]]}","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients'}, {'id': 3, 'name': 'Go Grocery Shopping'}, {'id': 4, 'name': 'Prepare Ingredients'}, {'id': 5, 'name': 'Marinate Chicken'}, {'id': 6, 'name': 'Preheat Oven'}, {'id': 7, 'name': 'Cook Chicken'}, {'id': 8, 'name': 'Prepare Side Dishes'}, {'id': 9, 'name': 'Set the Table'}, {'id': 10, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [4, 8], [7, 10], [8, 10], [9, 10]]}","[""USER: Hi, how's it going? I need to cook dinner tonight."", 'AGENT: Sure! I can help you with that. What type of dinner are you planning to make?', 'USER: Something with chicken, I think.']","{'nodes': [{'id': 1, 'name': 'Decide on a chicken recipe'}, {'id': 2, 'name': 'Check available ingredients'}, {'id': 3, 'name': 'Create a shopping list'}, {'id': 4, 'name': 'Go grocery shopping'}, {'id': 5, 'name': 'Prepare ingredients'}, {'id': 6, 'name': 'Cook the chicken dish'}, {'id': 7, 'name': 'Set the table'}, {'id': 8, 'name': 'Serve dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [6, 8]]}","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients'}, {'id': 3, 'name': 'Go Grocery Shopping'}, {'id': 4, 'name': 'Prepare Ingredients'}, {'id': 5, 'name': 'Marinate Chicken'}, {'id': 6, 'name': 'Preheat Oven'}, {'id': 7, 'name': 'Cook Chicken'}, {'id': 8, 'name': 'Prepare Side Dishes'}, {'id': 9, 'name': 'Set the Table'}, {'id': 10, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [4, 8], [7, 10], [8, 10], [9, 10]]}",A
1,noisy_data,dummy,advanced_summarizer,"{'nodes': [{'id': 1, 'name': 'Decide on a chicken recipe'}, {'id': 2, 'name': 'Check available ingredients'}, {'id': 3, 'name': 'Create a shopping list'}, {'id': 4, 'name': 'Go grocery shopping'}, {'id': 5, 'name': 'Prepare ingredients'}, {'id': 6, 'name': 'Cook the chicken dish'}, {'id': 7, 'name': 'Set the table'}, {'id': 8, 'name': 'Serve dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [6, 8]]}","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients at Home'}, {'id': 3, 'name': 'Make a Shopping List'}, {'id': 4, 'name': 'Go Grocery Shopping'}, {'id': 5, 'name': 'Prepare Ingredients'}, {'id': 6, 'name': 'Cook Chicken'}, {'id': 7, 'name': 'Prepare Side Dishes'}, {'id': 8, 'name': 'Set the Table'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [5, 7], [6, 9], [7, 9], [8, 9]]}","[""USER: Hi, how's it going? I need to cook dinner tonight."", 'AGENT: Sure! I can help you with that. What type of dinner are you planning to make?', 'USER: Something with chicken, I think.']","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients at Home'}, {'id': 3, 'name': 'Make a Shopping List'}, {'id': 4, 'name': 'Go Grocery Shopping'}, {'id': 5, 'name': 'Prepare Ingredients'}, {'id': 6, 'name': 'Cook Chicken'}, {'id': 7, 'name': 'Prepare Side Dishes'}, {'id': 8, 'name': 'Set the Table'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [5, 7], [6, 9], [7, 9], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Decide on a chicken recipe'}, {'id': 2, 'name': 'Check available ingredients'}, {'id': 3, 'name': 'Create a shopping list'}, {'id': 4, 'name': 'Go grocery shopping'}, {'id': 5, 'name': 'Prepare ingredients'}, {'id': 6, 'name': 'Cook the chicken dish'}, {'id': 7, 'name': 'Set the table'}, {'id': 8, 'name': 'Serve dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [6, 8]]}",B
1,noisy_data,basic_summarizer,advanced_summarizer,"{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients'}, {'id': 3, 'name': 'Go Grocery Shopping'}, {'id': 4, 'name': 'Prepare Ingredients'}, {'id': 5, 'name': 'Marinate Chicken'}, {'id': 6, 'name': 'Preheat Oven'}, {'id': 7, 'name': 'Cook Chicken'}, {'id': 8, 'name': 'Prepare Side Dishes'}, {'id': 9, 'name': 'Set the Table'}, {'id': 10, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [4, 8], [7, 10], [8, 10], [9, 10]]}","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients at Home'}, {'id': 3, 'name': 'Make a Shopping List'}, {'id': 4, 'name': 'Go Grocery Shopping'}, {'id': 5, 'name': 'Prepare Ingredients'}, {'id': 6, 'name': 'Cook Chicken'}, {'id': 7, 'name': 'Prepare Side Dishes'}, {'id': 8, 'name': 'Set the Table'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [5, 7], [6, 9], [7, 9], [8, 9]]}","[""USER: Hi, how's it going? I need to cook dinner tonight."", 'AGENT: Sure! I can help you with that. What type of dinner are you planning to make?', 'USER: Something with chicken, I think.']","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients at Home'}, {'id': 3, 'name': 'Make a Shopping List'}, {'id': 4, 'name': 'Go Grocery Shopping'}, {'id': 5, 'name': 'Prepare Ingredients'}, {'id': 6, 'name': 'Cook Chicken'}, {'id': 7, 'name': 'Prepare Side Dishes'}, {'id': 8, 'name': 'Set the Table'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [5, 7], [6, 9], [7, 9], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Decide on Chicken Recipe'}, {'id': 2, 'name': 'Check Ingredients'}, {'id': 3, 'name': 'Go Grocery Shopping'}, {'id': 4, 'name': 'Prepare Ingredients'}, {'id': 5, 'name': 'Marinate Chicken'}, {'id': 6, 'name': 'Preheat Oven'}, {'id': 7, 'name': 'Cook Chicken'}, {'id': 8, 'name': 'Prepare Side Dishes'}, {'id': 9, 'name': 'Set the Table'}, {'id': 10, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [4, 8], [7, 10], [8, 10], [9, 10]]}",B
4,perfect_intent,dummy,basic_summarizer,"{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Cook Chicken'}, {'id': 6, 'name': 'Assemble Chicken Parmesan'}, {'id': 7, 'name': 'Bake Chicken Parmesan'}, {'id': 8, 'name': 'Prepare Side Salad'}, {'id': 9, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [2, 6], [3, 5], [4, 9], [5, 6], [6, 7], [7, 9], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Chicken'}, {'id': 3, 'name': 'Cook Chicken'}, {'id': 4, 'name': 'Prepare Marinara Sauce'}, {'id': 5, 'name': 'Cook Marinara Sauce'}, {'id': 6, 'name': 'Boil Spaghetti'}, {'id': 7, 'name': 'Prepare Salad'}, {'id': 8, 'name': 'Assemble Chicken Parmesan'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [1, 4], [4, 5], [1, 6], [1, 7], [3, 8], [5, 8], [6, 8], [7, 9], [8, 9]]}","['USER: I want to make chicken parmesan with spaghetti for 4 people. Do you have a good recipe?', 'AGENT: Would you like to use homemade or store-bought marinara sauce?', ""USER: I'll use homemade sauce and serve it with a side salad.""]","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Cook Chicken'}, {'id': 6, 'name': 'Assemble Chicken Parmesan'}, {'id': 7, 'name': 'Bake Chicken Parmesan'}, {'id': 8, 'name': 'Prepare Side Salad'}, {'id': 9, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [2, 6], [3, 5], [4, 9], [5, 6], [6, 7], [7, 9], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Chicken'}, {'id': 3, 'name': 'Cook Chicken'}, {'id': 4, 'name': 'Prepare Marinara Sauce'}, {'id': 5, 'name': 'Cook Marinara Sauce'}, {'id': 6, 'name': 'Boil Spaghetti'}, {'id': 7, 'name': 'Prepare Salad'}, {'id': 8, 'name': 'Assemble Chicken Parmesan'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [1, 4], [4, 5], [1, 6], [1, 7], [3, 8], [5, 8], [6, 8], [7, 9], [8, 9]]}",A
4,perfect_intent,dummy,advanced_summarizer,"{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Cook Chicken'}, {'id': 6, 'name': 'Assemble Chicken Parmesan'}, {'id': 7, 'name': 'Bake Chicken Parmesan'}, {'id': 8, 'name': 'Prepare Side Salad'}, {'id': 9, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [2, 6], [3, 5], [4, 9], [5, 6], [6, 7], [7, 9], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken Cutlets'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Assemble Chicken Parmesan'}, {'id': 6, 'name': 'Bake Chicken Parmesan'}, {'id': 7, 'name': 'Prepare Side Salad'}, {'id': 8, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [1, 7], [2, 5], [3, 5], [4, 8], [5, 6], [6, 8], [7, 8]]}","['USER: I want to make chicken parmesan with spaghetti for 4 people. Do you have a good recipe?', 'AGENT: Would you like to use homemade or store-bought marinara sauce?', ""USER: I'll use homemade sauce and serve it with a side salad.""]","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken Cutlets'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Assemble Chicken Parmesan'}, {'id': 6, 'name': 'Bake Chicken Parmesan'}, {'id': 7, 'name': 'Prepare Side Salad'}, {'id': 8, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [1, 7], [2, 5], [3, 5], [4, 8], [5, 6], [6, 8], [7, 8]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Cook Chicken'}, {'id': 6, 'name': 'Assemble Chicken Parmesan'}, {'id': 7, 'name': 'Bake Chicken Parmesan'}, {'id': 8, 'name': 'Prepare Side Salad'}, {'id': 9, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [2, 6], [3, 5], [4, 9], [5, 6], [6, 7], [7, 9], [8, 9]]}",B
4,perfect_intent,basic_summarizer,advanced_summarizer,"{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Chicken'}, {'id': 3, 'name': 'Cook Chicken'}, {'id': 4, 'name': 'Prepare Marinara Sauce'}, {'id': 5, 'name': 'Cook Marinara Sauce'}, {'id': 6, 'name': 'Boil Spaghetti'}, {'id': 7, 'name': 'Prepare Salad'}, {'id': 8, 'name': 'Assemble Chicken Parmesan'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [1, 4], [4, 5], [1, 6], [1, 7], [3, 8], [5, 8], [6, 8], [7, 9], [8, 9]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken Cutlets'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Assemble Chicken Parmesan'}, {'id': 6, 'name': 'Bake Chicken Parmesan'}, {'id': 7, 'name': 'Prepare Side Salad'}, {'id': 8, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [1, 7], [2, 5], [3, 5], [4, 8], [5, 6], [6, 8], [7, 8]]}","['USER: I want to make chicken parmesan with spaghetti for 4 people. Do you have a good recipe?', 'AGENT: Would you like to use homemade or store-bought marinara sauce?', ""USER: I'll use homemade sauce and serve it with a side salad.""]","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Marinara Sauce'}, {'id': 3, 'name': 'Prepare Chicken Cutlets'}, {'id': 4, 'name': 'Cook Spaghetti'}, {'id': 5, 'name': 'Assemble Chicken Parmesan'}, {'id': 6, 'name': 'Bake Chicken Parmesan'}, {'id': 7, 'name': 'Prepare Side Salad'}, {'id': 8, 'name': 'Serve Meal'}], 'edges': [[1, 2], [1, 3], [1, 4], [1, 7], [2, 5], [3, 5], [4, 8], [5, 6], [6, 8], [7, 8]]}","{'nodes': [{'id': 1, 'name': 'Gather Ingredients'}, {'id': 2, 'name': 'Prepare Chicken'}, {'id': 3, 'name': 'Cook Chicken'}, {'id': 4, 'name': 'Prepare Marinara Sauce'}, {'id': 5, 'name': 'Cook Marinara Sauce'}, {'id': 6, 'name': 'Boil Spaghetti'}, {'id': 7, 'name': 'Prepare Salad'}, {'id': 8, 'name': 'Assemble Chicken Parmesan'}, {'id': 9, 'name': 'Serve Dinner'}], 'edges': [[1, 2], [2, 3], [1, 4], [4, 5], [1, 6], [1, 7], [3, 8], [5, 8], [6, 8], [7, 9], [8, 9]]}",B
5,intent_shift,dummy,basic_summarizer,"{'nodes': [{'id': 1, 'name': 'Research Python Basics'}, {'id': 2, 'name': 'Set Up Python Environment'}, {'id': 3, 'name': 'Learn Python Syntax'}, {'id': 4, 'name': 'Understand Machine Learning Concepts'}, {'id': 5, 'name': 'Explore Python Libraries for Machine Learning'}, {'id': 6, 'name': 'Practice with Simple Machine Learning Projects'}, {'id': 7, 'name': 'Learn Data Preprocessing Techniques'}, {'id': 8, 'name': 'Study Machine Learning Algorithms'}, {'id': 9, 'name': 'Implement Machine Learning Models'}, {'id': 10, 'name': 'Evaluate and Optimize Models'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10]]}","{'nodes': [{'id': 1, 'name': 'Introduction to Python'}, {'id': 2, 'name': 'Python for Web Development'}, {'id': 3, 'name': 'HTML & CSS Basics'}, {'id': 4, 'name': 'JavaScript Basics'}, {'id': 5, 'name': 'Web Frameworks (Flask/Django)'}, {'id': 6, 'name': 'Project: Build a Web Application'}, {'id': 7, 'name': 'Introduction to Machine Learning'}, {'id': 8, 'name': 'Python Libraries for ML (NumPy, Pandas)'}, {'id': 9, 'name': 'Data Preprocessing Techniques'}, {'id': 10, 'name': 'Supervised Learning Algorithms'}, {'id': 11, 'name': 'Unsupervised Learning Algorithms'}, {'id': 12, 'name': 'Project: Machine Learning Model'}, {'id': 13, 'name': 'Integrate ML Model into Web Application'}], 'edges': [[1, 2], [2, 5], [3, 5], [4, 5], [5, 6], [2, 8], [6, 13], [7, 8], [8, 9], [9, 10], [9, 11], [10, 12], [11, 12], [12, 13]]}","['USER: I want to learn Python for web development', 'AGENT: What specific area of web development are you interested in?', ""USER: Actually, I think I'd rather focus on machine learning""]","{'nodes': [{'id': 1, 'name': 'Introduction to Python'}, {'id': 2, 'name': 'Python for Web Development'}, {'id': 3, 'name': 'HTML & CSS Basics'}, {'id': 4, 'name': 'JavaScript Basics'}, {'id': 5, 'name': 'Web Frameworks (Flask/Django)'}, {'id': 6, 'name': 'Project: Build a Web Application'}, {'id': 7, 'name': 'Introduction to Machine Learning'}, {'id': 8, 'name': 'Python Libraries for ML (NumPy, Pandas)'}, {'id': 9, 'name': 'Data Preprocessing Techniques'}, {'id': 10, 'name': 'Supervised Learning Algorithms'}, {'id': 11, 'name': 'Unsupervised Learning Algorithms'}, {'id': 12, 'name': 'Project: Machine Learning Model'}, {'id': 13, 'name': 'Integrate ML Model into Web Application'}], 'edges': [[1, 2], [2, 5], [3, 5], [4, 5], [5, 6], [2, 8], [6, 13], [7, 8], [8, 9], [9, 10], [9, 11], [10, 12], [11, 12], [12, 13]]}","{'nodes': [{'id': 1, 'name': 'Research Python Basics'}, {'id': 2, 'name': 'Set Up Python Environment'}, {'id': 3, 'name': 'Learn Python Syntax'}, {'id': 4, 'name': 'Understand Machine Learning Concepts'}, {'id': 5, 'name': 'Explore Python Libraries for Machine Learning'}, {'id': 6, 'name': 'Practice with Simple Machine Learning Projects'}, {'id': 7, 'name': 'Learn Data Preprocessing Techniques'}, {'id': 8, 'name': 'Study Machine Learning Algorithms'}, {'id': 9, 'name': 'Implement Machine Learning Models'}, {'id': 10, 'name': 'Evaluate and Optimize Models'}], 'edges': [[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10]]}",B
