conv_len,topic,challenge,conversation,conv_id,rewritten,plan_from_conversation,plan_from_rewrite,planA,planB,rewrite_label
short,cooking,intent_shift,"['USER: I want to cook a cake for my birthday.', 'AGENT: What kind of cake are you thinking of making?', ""USER: Actually, I think I'll make some cookies instead.""]",0,Bake cookies for the user's birthday.,"{""nodes"":[{""id"":1,""name"":""Decide on Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Preheat Oven""},{""id"":4,""name"":""Mix Ingredients""},{""id"":5,""name"":""Shape Cookies""},{""id"":6,""name"":""Bake Cookies""},{""id"":7,""name"":""Cool and Serve""}],""edges"":[[1,2],[2,3],[2,4],[4,5],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Mix Ingredients""},{""id"":4,""name"":""Shape Cookies""},{""id"":5,""name"":""Bake Cookies""},{""id"":6,""name"":""Cool Cookies""},{""id"":7,""name"":""Decorate Cookies""},{""id"":8,""name"":""Package Cookies""}],""edges"":[[1,3],[2,5],[3,4],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Decide on Recipe""},{""id"":2,""name"":""Gather Ingredients""},{""id"":3,""name"":""Preheat Oven""},{""id"":4,""name"":""Mix Ingredients""},{""id"":5,""name"":""Shape Cookies""},{""id"":6,""name"":""Bake Cookies""},{""id"":7,""name"":""Cool and Serve""}],""edges"":[[1,2],[2,3],[2,4],[4,5],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Mix Ingredients""},{""id"":4,""name"":""Shape Cookies""},{""id"":5,""name"":""Bake Cookies""},{""id"":6,""name"":""Cool Cookies""},{""id"":7,""name"":""Decorate Cookies""},{""id"":8,""name"":""Package Cookies""}],""edges"":[[1,3],[2,5],[3,4],[4,5],[5,6],[6,7],[7,8]]}",B
medium,programming,intent_shift,"['USER: I want to learn about programming', 'AGENT: What programming language are you interested in?', ""USER: I'm not sure, maybe Python or Java"", 'AGENT: Both are popular choices, what do you want to use the programming language for?', 'USER: I want to build a website', ""AGENT: That's a great project, have you considered using a framework like Django or Flask?"", 'USER: Actually, I think I want to build a mobile app instead', 'AGENT: Okay let me look up porgramming languages for building a mobile app.']",55,Research programming languages suitable for building a mobile app.,"{""nodes"":[{""id"":1,""name"":""Identify Programming Language Interest""},{""id"":2,""name"":""Determine Project Type""},{""id"":3,""name"":""Research Suitable Programming Languages""},{""id"":4,""name"":""Select Programming Language""},{""id"":5,""name"":""Research Frameworks for Web Development""},{""id"":6,""name"":""Research Frameworks for Mobile App Development""},{""id"":7,""name"":""Choose Framework""},{""id"":8,""name"":""Start Learning and Building""}],""edges"":[[1,2],[2,3],[3,4],[2,5],[2,6],[4,7],[5,7],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Identify Mobile App Requirements""},{""id"":2,""name"":""Research Popular Programming Languages""},{""id"":3,""name"":""Evaluate Language Performance""},{""id"":4,""name"":""Assess Language Community Support""},{""id"":5,""name"":""Consider Cross-Platform Capabilities""},{""id"":6,""name"":""Analyze Language Learning Curve""},{""id"":7,""name"":""Compile Research Findings""},{""id"":8,""name"":""Select Suitable Programming Languages""}],""edges"":[[1,2],[2,3],[2,4],[2,5],[2,6],[3,7],[4,7],[5,7],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Identify Programming Language Interest""},{""id"":2,""name"":""Determine Project Type""},{""id"":3,""name"":""Research Suitable Programming Languages""},{""id"":4,""name"":""Select Programming Language""},{""id"":5,""name"":""Research Frameworks for Web Development""},{""id"":6,""name"":""Research Frameworks for Mobile App Development""},{""id"":7,""name"":""Choose Framework""},{""id"":8,""name"":""Start Learning and Building""}],""edges"":[[1,2],[2,3],[3,4],[2,5],[2,6],[4,7],[5,7],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Identify Mobile App Requirements""},{""id"":2,""name"":""Research Popular Programming Languages""},{""id"":3,""name"":""Evaluate Language Performance""},{""id"":4,""name"":""Assess Language Community Support""},{""id"":5,""name"":""Consider Cross-Platform Capabilities""},{""id"":6,""name"":""Analyze Language Learning Curve""},{""id"":7,""name"":""Compile Research Findings""},{""id"":8,""name"":""Select Suitable Programming Languages""}],""edges"":[[1,2],[2,3],[2,4],[2,5],[2,6],[3,7],[4,7],[5,7],[6,7],[7,8]]}",B
long,flights,intent_shift,"[""USER: Hi there! I'm looking to book a flight for a trip next month."", 'AGENT: What destination are you planning to travel to?', 'USER: I was thinking about going to Paris, but I might also want to visit London.', 'AGENT: Are you planning to visit both cities, or are you leaning toward just one?', 'USER: I guess I should focus on Paris for now. What are the flight options?', 'AGENT: When around next month are you planning to depart for Paris?', ""USER: I want to leave around the 10th of next month, but I'm not sure about the return."", 'AGENT: Approximately how long are you thinking of staying in Paris?', 'USER: Maybe a week or so. But wait, I just remembered my friend is in London and I want to see them too.', 'AGENT: Are you considering traveling from Paris to London during your trip?', 'USER: Hmm, I think a multi-city ticket could work better. What do you think?', 'AGENT: Would you prefer to return from London instead of Paris, then?', 'USER: Maybe the 20th? But can I change it if needed?']",110,"Book a multi-city flight departing around the 10th of next month from the user's location to Paris, with a stay of approximately one week, then traveling to London, and returning from London around the 20th, with the option to change the return date if needed.","{""nodes"":[{""id"":1,""name"":""Determine Destination""},{""id"":2,""name"":""Decide on Travel Dates""},{""id"":3,""name"":""Consider Multi-City Option""},{""id"":4,""name"":""Research Flight Options""},{""id"":5,""name"":""Book Flight""},{""id"":6,""name"":""Check Flexibility for Changes""}],""edges"":[[1,2],[1,3],[2,4],[3,4],[4,5],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Determine User's Current Location""},{""id"":2,""name"":""Search Flights to Paris""},{""id"":3,""name"":""Select Departure Date to Paris""},{""id"":4,""name"":""Book Flight to Paris""},{""id"":5,""name"":""Plan Stay in Paris""},{""id"":6,""name"":""Search Flights to London""},{""id"":7,""name"":""Select Departure Date to London""},{""id"":8,""name"":""Book Flight to London""},{""id"":9,""name"":""Plan Stay in London""},{""id"":10,""name"":""Search Return Flights from London""},{""id"":11,""name"":""Select Return Date""},{""id"":12,""name"":""Book Return Flight""},{""id"":13,""name"":""Option to Change Return Date""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13]]}","{""nodes"":[{""id"":1,""name"":""Determine User's Current Location""},{""id"":2,""name"":""Search Flights to Paris""},{""id"":3,""name"":""Select Departure Date to Paris""},{""id"":4,""name"":""Book Flight to Paris""},{""id"":5,""name"":""Plan Stay in Paris""},{""id"":6,""name"":""Search Flights to London""},{""id"":7,""name"":""Select Departure Date to London""},{""id"":8,""name"":""Book Flight to London""},{""id"":9,""name"":""Plan Stay in London""},{""id"":10,""name"":""Search Return Flights from London""},{""id"":11,""name"":""Select Return Date""},{""id"":12,""name"":""Book Return Flight""},{""id"":13,""name"":""Option to Change Return Date""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9],[9,10],[10,11],[11,12],[12,13]]}","{""nodes"":[{""id"":1,""name"":""Determine Destination""},{""id"":2,""name"":""Decide on Travel Dates""},{""id"":3,""name"":""Consider Multi-City Option""},{""id"":4,""name"":""Research Flight Options""},{""id"":5,""name"":""Book Flight""},{""id"":6,""name"":""Check Flexibility for Changes""}],""edges"":[[1,2],[1,3],[2,4],[3,4],[4,5],[5,6]]}",A
short,health,perfect_intent,"['USER: I need to find a dentist who specializes in root canals', 'AGENT: Are you experiencing any tooth pain?', ""USER: Yes, that's why I need to find a specialist""]",49,Find a dentist who specializes in root canals for a user experiencing tooth pain.,"{""nodes"":[{""id"":1,""name"":""Identify the need for a dentist specializing in root canals""},{""id"":2,""name"":""Confirm the presence of tooth pain""},{""id"":3,""name"":""Research dentists specializing in root canals""},{""id"":4,""name"":""Compile a list of potential dentists""},{""id"":5,""name"":""Evaluate dentist qualifications and reviews""},{""id"":6,""name"":""Schedule an appointment with the chosen dentist""}],""edges"":[[1,3],[2,3],[3,4],[4,5],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Identify User's Location""},{""id"":2,""name"":""Research Dentists in Area""},{""id"":3,""name"":""Filter Dentists Specializing in Root Canals""},{""id"":4,""name"":""Check Dentist Reviews and Ratings""},{""id"":5,""name"":""Verify Dentist's Credentials""},{""id"":6,""name"":""Contact Dentist for Availability""},{""id"":7,""name"":""Schedule Appointment""}],""edges"":[[1,2],[2,3],[3,4],[3,5],[4,6],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Identify User's Location""},{""id"":2,""name"":""Research Dentists in Area""},{""id"":3,""name"":""Filter Dentists Specializing in Root Canals""},{""id"":4,""name"":""Check Dentist Reviews and Ratings""},{""id"":5,""name"":""Verify Dentist's Credentials""},{""id"":6,""name"":""Contact Dentist for Availability""},{""id"":7,""name"":""Schedule Appointment""}],""edges"":[[1,2],[2,3],[3,4],[3,5],[4,6],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Identify the need for a dentist specializing in root canals""},{""id"":2,""name"":""Confirm the presence of tooth pain""},{""id"":3,""name"":""Research dentists specializing in root canals""},{""id"":4,""name"":""Compile a list of potential dentists""},{""id"":5,""name"":""Evaluate dentist qualifications and reviews""},{""id"":6,""name"":""Schedule an appointment with the chosen dentist""}],""edges"":[[1,3],[2,3],[3,4],[4,5],[5,6]]}",A
medium,restaurants,perfect_intent,"[""USER: I'm looking for a restaurant that serves authentic Japanese cuisine and has a sushi bar."", 'AGENT: Are you looking for a specific type of Japanese cuisine, such as ramen or tempura?', ""USER: No, I'm just looking for a restaurant with a good selection of sushi and other traditional Japanese dishes."", 'AGENT: Okay, got it. Are you planning on dining alone or with a group?', ""USER: I'll be with a group of 4. And we're looking for a restaurant in the downtown area."", 'AGENT: There are a few options to choose from. Are you looking for a high-end restaurant or something more casual?', ""USER: We're looking for something mid-range, around $20-$30 per entree."", ""AGENT: That helps narrow it down. I'll see what I can find.""]",69,"Find a mid-range Japanese restaurant in the downtown area that serves authentic cuisine with a good selection of sushi and other traditional dishes, suitable for a group of 4, with entree prices around $20-$30.","{""nodes"":[{""id"":1,""name"":""Identify User Preferences""},{""id"":2,""name"":""Search for Restaurants""},{""id"":3,""name"":""Filter by Cuisine Type""},{""id"":4,""name"":""Filter by Location""},{""id"":5,""name"":""Filter by Price Range""},{""id"":6,""name"":""Check for Sushi Bar""},{""id"":7,""name"":""Compile List of Suitable Restaurants""},{""id"":8,""name"":""Provide Recommendations to User""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Research Downtown Japanese Restaurants""},{""id"":2,""name"":""Filter by Authentic Cuisine""},{""id"":3,""name"":""Check Sushi and Traditional Dish Selection""},{""id"":4,""name"":""Verify Price Range $20-$30""},{""id"":5,""name"":""Ensure Seating for Group of 4""},{""id"":6,""name"":""Compile List of Suitable Restaurants""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Identify User Preferences""},{""id"":2,""name"":""Search for Restaurants""},{""id"":3,""name"":""Filter by Cuisine Type""},{""id"":4,""name"":""Filter by Location""},{""id"":5,""name"":""Filter by Price Range""},{""id"":6,""name"":""Check for Sushi Bar""},{""id"":7,""name"":""Compile List of Suitable Restaurants""},{""id"":8,""name"":""Provide Recommendations to User""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Research Downtown Japanese Restaurants""},{""id"":2,""name"":""Filter by Authentic Cuisine""},{""id"":3,""name"":""Check Sushi and Traditional Dish Selection""},{""id"":4,""name"":""Verify Price Range $20-$30""},{""id"":5,""name"":""Ensure Seating for Group of 4""},{""id"":6,""name"":""Compile List of Suitable Restaurants""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6]]}",B
long,cooking,perfect_intent,"[""USER: I want to make a chocolate cake for my friend's birthday, can you help me with a recipe?"", ""AGENT: What type of chocolate cake are you looking to make, something classic or a bit unique?"", ""USER: I'm thinking of making a mocha chocolate cake with a chocolate ganache frosting."", ""AGENT: What size cake are you planning to make—an 8-inch or 9-inch round, or something else?"", ""USER: I think I'll make a 9-inch cake, and I'll need to make it tomorrow, so I want to make sure I have all the ingredients."", ""AGENT: Do you already have some of the key ingredients like cocoa powder, espresso powder, and dark chocolate?"", ""USER: Yes I've got it"", ""AGENT: Would you prefer to make the frosting from scratch, or are you leaning toward buying store bought?"", ""USER: I'll make it from scratch."", ""AGENT: Have you worked with chocolate ganache before, or would you like tips on handling it?"", ""USER: I'm good thank you!""]",104,"Prepare a 9-inch mocha chocolate cake with chocolate ganache frosting from scratch for a friend's birthday tomorrow, ensuring all necessary ingredients are available, including cocoa powder, espresso powder, and dark chocolate.","{""nodes"":[{""id"":1,""name"":""Determine Cake Type""},{""id"":2,""name"":""Select Cake Size""},{""id"":3,""name"":""Check Ingredient Inventory""},{""id"":4,""name"":""Gather Ingredients""},{""id"":5,""name"":""Prepare Cake Batter""},{""id"":6,""name"":""Bake Cake""},{""id"":7,""name"":""Prepare Chocolate Ganache Frosting""},{""id"":8,""name"":""Assemble and Frost Cake""},{""id"":9,""name"":""Serve Cake""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Prepare Cake Batter""},{""id"":4,""name"":""Bake Cake""},{""id"":5,""name"":""Cool Cake""},{""id"":6,""name"":""Prepare Ganache""},{""id"":7,""name"":""Frost Cake""},{""id"":8,""name"":""Decorate Cake""},{""id"":9,""name"":""Store Cake""}],""edges"":[[1,3],[2,4],[3,4],[4,5],[5,7],[6,7],[7,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Preheat Oven""},{""id"":3,""name"":""Prepare Cake Batter""},{""id"":4,""name"":""Bake Cake""},{""id"":5,""name"":""Cool Cake""},{""id"":6,""name"":""Prepare Ganache""},{""id"":7,""name"":""Frost Cake""},{""id"":8,""name"":""Decorate Cake""},{""id"":9,""name"":""Store Cake""}],""edges"":[[1,3],[2,4],[3,4],[4,5],[5,7],[6,7],[7,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Determine Cake Type""},{""id"":2,""name"":""Select Cake Size""},{""id"":3,""name"":""Check Ingredient Inventory""},{""id"":4,""name"":""Gather Ingredients""},{""id"":5,""name"":""Prepare Cake Batter""},{""id"":6,""name"":""Bake Cake""},{""id"":7,""name"":""Prepare Chocolate Ganache Frosting""},{""id"":8,""name"":""Assemble and Frost Cake""},{""id"":9,""name"":""Serve Cake""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8],[8,9]]}",A
medium,restaurants,perfect_intent,"[""USER: I'm looking for a highly-rated seafood restaurant in the city that serves lobster."", 'AGENT: There are a few excellent seafood places. Are you looking for somewhere with a view or a specific ambiance?', 'USER: Actually, a view of the waterfront would be perfect. And it needs to be within walking distance of my hotel.', 'AGENT: That helps narrow it down. How many people will be in your party, and do you have a preferred time for dinner?', ""USER: There will be four of us, and we're flexible with the time but would prefer something early, around 6 PM."", 'AGENT: Early dinner sounds nice. Are you looking to make a reservation in advance or just walk in?', 'USER: Making a reservation would be best, just to be sure. Can you recommend a few places that fit all these criteria?', ""AGENT: I can definitely provide some recommendations. So, to confirm, you're looking for a top-rated seafood restaurant with lobster, a waterfront view, within walking distance of your hotel, and available for a 6 PM reservation for four people, right?"", ""USER: That's exactly right. Thank you for your help.""]",94,"Find and recommend a top-rated seafood restaurant in the city that serves lobster, has a waterfront view, is within walking distance of the user's hotel, and can accommodate a reservation for four people at 6 PM.","{""nodes"":[{""id"":1,""name"":""Identify User's Requirements""},{""id"":2,""name"":""Search for Seafood Restaurants""},{""id"":3,""name"":""Filter by Lobster Availability""},{""id"":4,""name"":""Filter by Waterfront View""},{""id"":5,""name"":""Filter by Walking Distance from Hotel""},{""id"":6,""name"":""Check Availability for 6 PM Reservation""},{""id"":7,""name"":""Compile Recommendations""},{""id"":8,""name"":""Confirm with User""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Identify User's Hotel Location""},{""id"":2,""name"":""Search for Seafood Restaurants with Lobster""},{""id"":3,""name"":""Filter Restaurants with Waterfront View""},{""id"":4,""name"":""Check Walking Distance from Hotel""},{""id"":5,""name"":""Verify Reservation Availability for Four at 6 PM""},{""id"":6,""name"":""Recommend Top-rated Restaurant""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6]]}","{""nodes"":[{""id"":1,""name"":""Identify User's Requirements""},{""id"":2,""name"":""Search for Seafood Restaurants""},{""id"":3,""name"":""Filter by Lobster Availability""},{""id"":4,""name"":""Filter by Waterfront View""},{""id"":5,""name"":""Filter by Walking Distance from Hotel""},{""id"":6,""name"":""Check Availability for 6 PM Reservation""},{""id"":7,""name"":""Compile Recommendations""},{""id"":8,""name"":""Confirm with User""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Identify User's Hotel Location""},{""id"":2,""name"":""Search for Seafood Restaurants with Lobster""},{""id"":3,""name"":""Filter Restaurants with Waterfront View""},{""id"":4,""name"":""Check Walking Distance from Hotel""},{""id"":5,""name"":""Verify Reservation Availability for Four at 6 PM""},{""id"":6,""name"":""Recommend Top-rated Restaurant""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6]]}",B
medium,flights,perfect_intent,"['USER: I need to book a round trip flight from Los Angeles to Boston for the 15th of this month.', 'AGENT: What time do you want to depart on the 15th?', ""USER: I'd prefer a morning flight."", 'AGENT: And what time would you like to return?', 'USER: I want to come back on the 22nd, in the afternoon if possible.', 'AGENT: Are you looking for any specific airlines?', 'USER: No, I just want the best price.', 'AGENT: I found a AA flight which matches your criteria. Should I book that?', 'USER: Yes']",64,"Book a round trip flight from Los Angeles to Boston departing on the 15th of this month in the morning and returning on the 22nd in the afternoon, with the best price available, and confirm the booking for the American Airlines flight that matches these criteria.","{""nodes"":[{""id"":1,""name"":""Identify Departure and Return Dates""},{""id"":2,""name"":""Determine Preferred Departure Time""},{""id"":3,""name"":""Determine Preferred Return Time""},{""id"":4,""name"":""Check for Specific Airline Preferences""},{""id"":5,""name"":""Search for Flights""},{""id"":6,""name"":""Select Best Priced Flight""},{""id"":7,""name"":""Confirm Booking with User""},{""id"":8,""name"":""Book Flight""}],""edges"":[[1,2],[1,3],[2,5],[3,5],[4,5],[5,6],[6,7],[7,8]]}","{""nodes"":[{""id"":1,""name"":""Search Flights""},{""id"":2,""name"":""Filter by Departure Date and Time""},{""id"":3,""name"":""Filter by Return Date and Time""},{""id"":4,""name"":""Compare Prices""},{""id"":5,""name"":""Select Best Price""},{""id"":6,""name"":""Check American Airlines Availability""},{""id"":7,""name"":""Confirm Booking""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Search Flights""},{""id"":2,""name"":""Filter by Departure Date and Time""},{""id"":3,""name"":""Filter by Return Date and Time""},{""id"":4,""name"":""Compare Prices""},{""id"":5,""name"":""Select Best Price""},{""id"":6,""name"":""Check American Airlines Availability""},{""id"":7,""name"":""Confirm Booking""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Identify Departure and Return Dates""},{""id"":2,""name"":""Determine Preferred Departure Time""},{""id"":3,""name"":""Determine Preferred Return Time""},{""id"":4,""name"":""Check for Specific Airline Preferences""},{""id"":5,""name"":""Search for Flights""},{""id"":6,""name"":""Select Best Priced Flight""},{""id"":7,""name"":""Confirm Booking with User""},{""id"":8,""name"":""Book Flight""}],""edges"":[[1,2],[1,3],[2,5],[3,5],[4,5],[5,6],[6,7],[7,8]]}",A
short,programming,perfect_intent,"[""USER: I'm looking for resources to improve my JavaScript skills."", 'AGENT: If you want to learn basics, I suggest starting with an online course. Do you want recommendations?', 'USER: Sure, please send some over. ']",34,Provide the user with recommendations for online courses to improve their JavaScript skills.,"{""nodes"":[{""id"":1,""name"":""Identify Learning Goals""},{""id"":2,""name"":""Research Online Courses""},{""id"":3,""name"":""Select Recommended Courses""},{""id"":4,""name"":""Enroll in Courses""},{""id"":5,""name"":""Supplement with Additional Resources""},{""id"":6,""name"":""Practice Coding""},{""id"":7,""name"":""Evaluate Progress""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Identify Skill Level""},{""id"":2,""name"":""Research Course Platforms""},{""id"":3,""name"":""List Popular JavaScript Courses""},{""id"":4,""name"":""Evaluate Course Content""},{""id"":5,""name"":""Check Course Reviews""},{""id"":6,""name"":""Compare Course Prices""},{""id"":7,""name"":""Compile Recommendations""}],""edges"":[[1,2],[2,3],[3,4],[3,5],[4,6],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Identify Skill Level""},{""id"":2,""name"":""Research Course Platforms""},{""id"":3,""name"":""List Popular JavaScript Courses""},{""id"":4,""name"":""Evaluate Course Content""},{""id"":5,""name"":""Check Course Reviews""},{""id"":6,""name"":""Compare Course Prices""},{""id"":7,""name"":""Compile Recommendations""}],""edges"":[[1,2],[2,3],[3,4],[3,5],[4,6],[5,6],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Identify Learning Goals""},{""id"":2,""name"":""Research Online Courses""},{""id"":3,""name"":""Select Recommended Courses""},{""id"":4,""name"":""Enroll in Courses""},{""id"":5,""name"":""Supplement with Additional Resources""},{""id"":6,""name"":""Practice Coding""},{""id"":7,""name"":""Evaluate Progress""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[6,7]]}",A
long,cooking,intent_shift,"[""USER: Hey there! I'm thinking about trying a new recipe for dinner tonight, maybe something Italian."", 'AGENT: What kind of Italian dish are you considering? Pasta, pizza, or something else?', 'USER: I was leaning towards making a pasta dish, but then I remembered I have some chicken I need to use.', 'AGENT: Do you want to incorporate the chicken into the pasta dish, or are you thinking of a separate recipe for it?', 'USER: Hmm, I guess I could make a chicken pasta dish. What do you think?', 'AGENT: That sounds like a great idea! What type of pasta do you have on hand?', ""USER: I think I have penne or spaghetti. I'm not sure which one is better for chicken."", 'AGENT: Are you planning to add any sauces or vegetables to the dish?', 'USER: Yeah, I might add some tomatoes and maybe spinach.', 'AGENT: Sounds good, do you have any cream or cheese to make it creamy?', 'USER: I have some heavy cream and Parmesan cheese.', 'AGENT: Sounds delicious! Do you need help with the cooking process or just the ingredients?', 'USER: Actually, now that I think about it, I also need ideas for a side dish. Something simple.', 'AGENT: Would you enjoy some garlic bread?', 'USER: I like garlic bread, but I feel like I should do something healthier.', 'AGENT: Are you considering a salad or roasted vegetables as a healthier option?', 'USER: A salad sounds good, maybe a Caesar salad or something light. Thanks for your help!']",125,"Prepare a chicken pasta dish using penne or spaghetti, incorporating tomatoes, spinach, heavy cream, and Parmesan cheese, and pair it with a light Caesar salad as a side dish.","{""nodes"":[{""id"":1,""name"":""Decide on main dish""},{""id"":2,""name"":""Check available ingredients""},{""id"":3,""name"":""Choose pasta type""},{""id"":4,""name"":""Plan chicken pasta recipe""},{""id"":5,""name"":""Decide on sauce and vegetables""},{""id"":6,""name"":""Check for cream and cheese""},{""id"":7,""name"":""Plan side dish""},{""id"":8,""name"":""Choose healthier side option""},{""id"":9,""name"":""Finalize meal plan""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[4,9],[6,9],[1,7],[7,8],[8,9]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Prepare Chicken""},{""id"":3,""name"":""Cook Pasta""},{""id"":4,""name"":""Prepare Sauce""},{""id"":5,""name"":""Combine Pasta and Sauce""},{""id"":6,""name"":""Prepare Caesar Salad""},{""id"":7,""name"":""Serve Dish""}],""edges"":[[1,2],[1,3],[1,4],[2,4],[3,5],[4,5],[1,6],[5,7],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Gather Ingredients""},{""id"":2,""name"":""Prepare Chicken""},{""id"":3,""name"":""Cook Pasta""},{""id"":4,""name"":""Prepare Sauce""},{""id"":5,""name"":""Combine Pasta and Sauce""},{""id"":6,""name"":""Prepare Caesar Salad""},{""id"":7,""name"":""Serve Dish""}],""edges"":[[1,2],[1,3],[1,4],[2,4],[3,5],[4,5],[1,6],[5,7],[6,7]]}","{""nodes"":[{""id"":1,""name"":""Decide on main dish""},{""id"":2,""name"":""Check available ingredients""},{""id"":3,""name"":""Choose pasta type""},{""id"":4,""name"":""Plan chicken pasta recipe""},{""id"":5,""name"":""Decide on sauce and vegetables""},{""id"":6,""name"":""Check for cream and cheese""},{""id"":7,""name"":""Plan side dish""},{""id"":8,""name"":""Choose healthier side option""},{""id"":9,""name"":""Finalize meal plan""}],""edges"":[[1,2],[2,3],[3,4],[4,5],[5,6],[4,9],[6,9],[1,7],[7,8],[8,9]]}",A
